,Makespan,Mean Flow Time,Mean Weighted Tardiness,Max Weighted Tardiness,No. Tardy Jobs P1,No. Tardy Jobs P2,No. Tardy Jobs P3,Mean WIP
0,3223.1352125685726,149.19454514670883,261.15953750666654,2416.7304133561433,0.74868067135182,0.7484900404653249,0.49798227965133113,87.17003610851974
1,3217.6252125685733,150.5035313967088,265.3216907090075,2367.687320217101,0.7554403421234263,0.7537759621919078,0.49934890446129104,87.72457046871712
2,3224.1487125685726,149.60929539670872,261.48165458593854,2424.9133160360357,0.7547986289257379,0.7494471231183958,0.4951699693294715,87.33725291999967
3,3217.448712568574,150.2617961467089,263.0491948182837,2362.9686855635173,0.7569748397301973,0.7505751388321312,0.49771943069509184,87.65013242078071
4,3721.8737125685743,150.09371064670893,95.09871363085233,901.0857648742499,0.7616082517636695,0.0039653272109196735,0.0,90.35110568230684
5,3717.327212568572,146.54655614670892,91.29639591525236,912.0593076370762,0.7538039435802877,0.0053348060065392215,0.0,88.86823330051708
6,3727.102212568576,150.29872864670892,95.40147566886175,940.9903203935397,0.7579797890402229,0.003769781732715004,0.0,90.4883327669716
7,3703.3957125685765,146.71960339670883,91.42876122867587,898.7937337509534,0.7591228733390938,0.004940166604636993,0.0,88.69457522956786
8,3614.771712568572,148.87689514670868,143.9959602051852,1068.7509536049874,0.7967931115907354,0.6911625585492167,0.4080643038826351,90.14044026428851
9,3606.069212568572,149.44661089670868,144.88251879135353,1043.3209487472143,0.7927134498428785,0.6903140283876457,0.4096655794887241,90.35928301659895
10,3617.812712568572,150.1690543967087,145.73276103518995,1053.78348812574,0.7964520013068259,0.6928617558506572,0.40847244741141525,90.80436882274542
11,3630.88171256857,150.17752539670863,146.11067999955017,1051.7313588628858,0.7863427258028157,0.6824204730792934,0.4056196075273182,90.9465770382659
12,3483.133212568573,146.11389864670883,90.02604565431126,557.2439615552768,0.8463836197239845,0.001993585063586997,0.0,86.07216046873326
13,3467.904212568572,145.71731639670878,89.39387128566274,543.4089097730664,0.8414770180022836,0.003122354808847967,0.0,85.79216051497677
14,3483.8977125685733,146.7152128967088,90.75058424127619,560.4664395347392,0.8468469536485442,0.002112827880741118,0.0,86.4169742439143
15,3464.4642125685723,145.5470566467087,89.23533339808066,538.178794874264,0.8451352481333294,0.0028637561461419114,0.0,85.66633077237599
16,3469.332212568573,146.23492514670878,90.01045666350372,551.0796164503666,0.8628458825535151,0.0013717956403490527,0.0,85.94856006822569
17,3470.8527125685728,145.71720264670878,89.2110389726632,540.0751744658896,0.862525203654549,0.0013538457275603425,0.0,85.82311725376785
18,3477.605712568573,147.35718364670885,91.17732839543807,550.326425797623,0.8683021784238066,0.0014668517245526086,0.0,86.75146856638534
19,3468.873212568574,146.18563289670868,89.75529834322998,541.6325975757296,0.8615366915981255,0.0014641701761701454,0.0,85.9096710419144
20,3547.171712568576,140.62077664670886,78.55465400695938,720.8155354646776,0.8695011879099152,0.6000318817882587,0.012781538953111739,85.02460771909674
21,3524.8402125685725,137.11220639670887,75.01344339872227,677.6828387066979,0.8670817383940457,0.6107595646755949,0.012294765174412567,83.33007919777087
22,3553.709712568573,140.3779648967088,78.24545589910126,712.3096252118537,0.8723116490699827,0.6031747219623891,0.011863045185047777,85.04187556792647
23,3529.5452125685733,136.7402481467088,74.71786848014351,682.5673418960989,0.8659450020545542,0.6050267384374615,0.01239869542440229,83.12832259133265
24,3368.7732125685725,149.7844623967087,120.48152858375107,456.1184611022775,0.8026785067240545,0.7414304238864854,0.41376505290242194,88.2688286803404
25,3356.4222125685737,148.91472264670875,119.20373610462988,458.790569238867,0.8006853159965887,0.7373305490680351,0.41457677192387843,87.72926588003334
26,3371.224212568573,150.81918389670875,121.93565809846417,467.9580326787094,0.804399971689621,0.7409220679292645,0.41160884939598286,88.73435650242165
27,3356.667712568572,148.0137103967088,117.7907685905024,454.96621782285496,0.8040003020717309,0.7386749843895923,0.41192625792659066,87.27930886715819
28,3639.0012125685716,146.19244014670886,79.13730433579536,802.7402853617286,0.7491461493817745,0.07560377232604855,0.0005063723292688034,88.12205452187862
29,3617.8207125685726,145.23689464670875,78.18810289344106,799.4157159504225,0.7420753197659657,0.07288232344903967,0.0002688679087690894,87.27647373269392
30,3636.559212568573,145.1772606467087,78.20415450462984,797.888613001713,0.7453620313735368,0.07207694044740226,0.0003977287171870148,87.48806201593125
31,3628.8557125685743,145.6022433967088,78.61089488624083,794.0961239008384,0.7446278972523825,0.0726116484008645,0.00023217362421924654,87.64663342497552
32,3755.7907125685742,160.07662164670887,92.42284733083923,895.1116314914843,0.841291942743518,0.3825160975244468,0.01635892409740589,95.89327596871458
33,3683.6527125685743,154.7974788967089,87.18433075829076,844.4342687936991,0.8378870396185469,0.392938498456606,0.018516227467714003,92.66370972196773
34,3728.517712568575,160.10095614670888,92.48436674513704,882.0017481261139,0.841421251092957,0.38446328145835296,0.01496976267629984,95.19931430580397
35,3700.9062125685728,154.82307564670887,87.15879593927478,849.9749311565262,0.8404783268507924,0.3960311507576767,0.017095054629544887,92.9304012885799
